run_id,asset_name,local_source_path,release_tag,release_url,sha256,size_bytes,status,notes
run-008c-devnet-leaf1-ibd-2026-04-08T03-13-19Z,run-008c-devnet-leaf1-ibd-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf1-ibd-2026-04-08T03-13-19Z.tar.gz,,,82300b9755838eb5335b6cc32b201f17996a790e571cae3dd4a12a3e1612da7d,118772374,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf1-synced-downstream-2026-04-08T03-13-19Z,run-008c-devnet-leaf1-synced-downstream-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf1-synced-downstream-2026-04-08T03-13-19Z.tar.gz,,,3e863454a664b8b1b080b654379a6bf6216c1b7757bb3abeadc8c78ca13af219,138306552,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf2-ibd-2026-04-08T03-13-19Z,run-008c-devnet-leaf2-ibd-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf2-ibd-2026-04-08T03-13-19Z.tar.gz,,,51a6337d3f08140e6f63ba0e346a479bf2f6640a3f802f8c78b21bae52048305,119207693,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf2-synced-downstream-2026-04-08T03-13-19Z,run-008c-devnet-leaf2-synced-downstream-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf2-synced-downstream-2026-04-08T03-13-19Z.tar.gz,,,5c43ea81af977f4c82c7eaf0f856744e692497d6821ac7bef2f55a5f32c15f47,138384538,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf3-ibd-2026-04-08T03-13-19Z,run-008c-devnet-leaf3-ibd-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf3-ibd-2026-04-08T03-13-19Z.tar.gz,,,3a56dc102da1161e8434fb2e454b61a29af16d17c91d3cfc54569b4de40418e7,118197441,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf3-synced-downstream-2026-04-08T03-13-19Z,run-008c-devnet-leaf3-synced-downstream-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf3-synced-downstream-2026-04-08T03-13-19Z.tar.gz,,,5d8d0ea89745583adfb5712054a0ffafab3327f457c3871c381aa8f0355a7e97,138215001,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf4-ibd-2026-04-08T03-13-19Z,run-008c-devnet-leaf4-ibd-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf4-ibd-2026-04-08T03-13-19Z.tar.gz,,,3ea8905528b8d167c05883af6527fd608a221dac6a8b3af724ea468e3ad6b8b0,119604582,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf4-synced-downstream-2026-04-08T03-13-19Z,run-008c-devnet-leaf4-synced-downstream-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf4-synced-downstream-2026-04-08T03-13-19Z.tar.gz,,,e3054f7c349251764d162f30709544760c96709df429e78acaf8f857a7b35b6d,138818893,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf5-ibd-2026-04-08T03-13-19Z,run-008c-devnet-leaf5-ibd-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf5-ibd-2026-04-08T03-13-19Z.tar.gz,,,f041a0d313e2b4e835a7dfc5880d50ee823f73f360da989823078e60d05814ed,119854553,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf5-synced-downstream-2026-04-08T03-13-19Z,run-008c-devnet-leaf5-synced-downstream-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf5-synced-downstream-2026-04-08T03-13-19Z.tar.gz,,,64a1af5c5a444b3ba4f832def76d58db6a0c31a818568eb92bfcb268da282cd9,139298584,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf6-ibd-2026-04-08T03-13-19Z,run-008c-devnet-leaf6-ibd-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf6-ibd-2026-04-08T03-13-19Z.tar.gz,,,cac7a77fba0e012a111a1114169d41a12082d3f6ae119de885aaad7aa7593e34,120012462,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf6-synced-downstream-2026-04-08T03-13-19Z,run-008c-devnet-leaf6-synced-downstream-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf6-synced-downstream-2026-04-08T03-13-19Z.tar.gz,,,c35513f624cb44938814d4261270395db8d2c170354feb9ab861f18cf9d32fe9,138192268,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf7-ibd-2026-04-08T03-13-19Z,run-008c-devnet-leaf7-ibd-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf7-ibd-2026-04-08T03-13-19Z.tar.gz,,,ff1f4b41bf4b4c2d4a5e67834f604d3a025f6dcffc54a24e927b9fbdcec550cd,119030102,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf7-synced-downstream-2026-04-08T03-13-19Z,run-008c-devnet-leaf7-synced-downstream-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf7-synced-downstream-2026-04-08T03-13-19Z.tar.gz,,,fdc9b7831a4a8d6f57f0f3abf41e230f4fc50ddb043d5500975ead349bf663a0,138769026,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf8-ibd-2026-04-08T03-13-19Z,run-008c-devnet-leaf8-ibd-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf8-ibd-2026-04-08T03-13-19Z.tar.gz,,,d0e66121ec3ab9562aa4cbf93a33dd127c78bc7d1eddfa0b5df173c38532bcbb,119582872,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-leaf8-synced-downstream-2026-04-08T03-13-19Z,run-008c-devnet-leaf8-synced-downstream-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-leaf8-synced-downstream-2026-04-08T03-13-19Z.tar.gz,,,acb3f56e0239db5c82d74b40150c0bbd9fcbe19ee79bf57f97b21768f5615789,138735877,local-bundle-ready,local bundle exists but is not uploaded to Releases
run-008c-devnet-relay-serving-8-leaf-ibd-2026-04-08T03-13-19Z,run-008c-devnet-relay-serving-8-leaf-ibd-2026-04-08T03-13-19Z.tar.gz,release-bundles/run-008c-devnet-relay-serving-8-leaf-ibd-2026-04-08T03-13-19Z.tar.gz,,,dfbd2bf175843ac4d521c89189e2f1a3315f57f5b12520083c3fd1c6faa420d1,154630882,local-bundle-ready,local bundle exists but is not uploaded to Releases
