timestamp_utc,event_type,notes
2026-04-04T18:43:21Z,synced_start,auto: detected node becoming synced from RPC samples
2026-04-04T23:51:09.851+11:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T02:42:12.653+10:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T02:42:12.944+10:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T04:06:26.300+10:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T04:06:27.012+10:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T04:34:10.948+10:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T04:34:10.948+10:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T04:43:17.022+10:00,pruning_start,auto: detected pruning movement in kaspad log
