timestamp_utc,event_type,notes
2026-04-07T13:41:28Z,synced_start,auto: first successful RPC sample was synced
2026-04-07T18:32:32.851+00:00,pruning_start,auto: detected pruning movement in kaspad log
2026-04-07T18:40:52.733+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
